time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status
2024-02-24 17:37:26.300,"[2.822380542755127, 9.068737983703612, 3.68854546546936]","[0.6953319907188416, 0.3323700129985809, 0.5008959770202637, 0.393884003162384, -1.0030702352523804, -1.0290409326553345, -2.711930274963379]","[-12.6875, -48.125, 0.4375]","[-0.0915425196290016, 0.2080956101417541, 0.316637635231018]","[-45.1875, -18.625, 58.125]","[0.3941999971866607, 0.3001999855041504, -0.5381999611854553]","[-0.0940383374691009, 0.2179567217826843, 0.324962854385376]","[2.743799924850464, 8.378600120544434, 4.294099807739258]",,
2024-02-24 17:37:26.400,"[3.4052634239196777, 8.440299034118652, 3.604336738586426]","[0.6917309761047363, 0.3428309857845306, 0.5023019909858704, 0.3894439935684204, -1.0242373943328855, -1.0462088584899902, -2.7430436611175537]","[-10.9375, -47.8125, 1.0625]","[-0.2082875967025756, 0.0450120419263839, 0.4944866895675659]","[-43.4375, -18.3125, 58.75]","[-2.315199851989746, -2.490299940109253, -0.6524999737739563]","[-0.0404567308723926, 0.1399579495191574, 0.2013411819934845]","[2.560400009155273, 8.501799583435059, 4.163300037384033]",,
2024-02-24 17:37:26.500,"[1.1263186931610107, 7.767029762268066, 4.011619091033936]","[0.6967899799346924, 0.3450140058994293, 0.5034269690513611, 0.3768399953842163, -1.046972393989563, -1.0357155799865725, -2.785463094711304]","[-9.75, -48.5625, 0.375]","[0.080459676682949, -0.0977558940649032, -0.0196000467985868]","[-42.25, -19.0625, 58.0625]","[-0.7633000016212463, 1.2148000001907349, 0.5426999926567078]","[0.6362946629524231, 0.0331438034772872, 0.2430371046066284]","[2.499099969863892, 8.405399322509766, 4.389999866485596]",,
2024-02-24 17:37:26.600,"[-0.419981300830841, 1.8754643201828003, 4.997168064117432]","[0.6939209699630737, 0.359851986169815, 0.4964619874954223, 0.377496987581253, -1.0344934463500977, -1.063875436782837, -2.7913084030151367]","[-9.0, -48.5625, 1.75]","[-0.0931133180856704, -0.0081157805398106, 0.1637118905782699]","[-41.5, -19.0625, 59.4375]","[0.349399983882904, 0.3438999950885772, -0.6139999628067017]","[-0.2849424481391907, 0.108751468360424, 0.1889842450618744]","[2.455199956893921, 8.570300102233887, 4.0854997634887695]",,
2024-02-24 17:37:26.700,"[3.70372462272644, 9.96133518218994, 3.968743562698364]","[0.6961609721183777, 0.3663220107555389, 0.4954110085964203, 0.3684220016002655, -1.0501463413238523, -1.0655986070632937, -2.8264663219451904]","[-8.1875, -48.75, 1.8125]","[-0.3790680468082428, 0.2998999357223511, -0.0781907513737678]","[-40.6875, -19.25, 59.5]","[-0.7493999600410461, 3.886799812316896, -1.848199963569641]","[-0.0385717749595642, 0.205512523651123, 0.0210661236196756]","[2.367499828338623, 8.645999908447266, 3.976300001144409]",,
2024-02-24 17:37:26.800,"[2.458117246627808, 8.763008117675781, 3.754567861557007]","[0.7035279870033264, 0.3662729859352112, 0.4903459846973419, 0.3611809909343719, -1.038030982017517, -1.054338812828064, -2.8350706100463867]","[-7.5625, -48.5625, 0.875]","[-0.2159670442342758, 0.0755553022027015, -0.0962025448679924]","[-40.0625, -19.0625, 58.5625]","[-0.7333999872207642, 1.4304999113082886, -1.1395999193191528]","[-0.2336123138666153, 0.0147480322048068, -0.3960501253604889]","[2.4103000164031982, 8.513400077819824, 4.228699684143066]",,
2024-02-24 17:37:26.900,"[3.1299877166748047, 8.670036315917969, 5.942849159240723]","[0.7032529711723328, 0.3565840125083923, 0.4853630065917969, 0.3777610063552856, -0.9844116568565368, -1.0516438484191897, -2.759094953536988]","[-8.875, -48.1875, 2.1875]","[-0.2243271619081497, -0.4071853160858154, -0.1655793786048889]","[-41.375, -18.6875, 59.875]","[-2.3143999576568604, 2.301300048828125, 0.4536999762058258]","[0.1214051023125648, -0.2239606529474258, 0.0326725617051124]","[2.6477999687194824, 8.5447998046875, 4.018099784851074]",,
2024-02-24 17:37:27.000,"[2.4819157123565674, 9.291762351989746, 3.361842393875122]","[0.7087699770927429, 0.3562319874763489, 0.4868769943714142, 0.3656409978866577, -1.0062599182128906, -1.037266969680786, -2.797780752182007]","[-9.1875, -48.5, 1.0625]","[0.1636071652173996, 0.0501258559525013, 0.1362404078245163]","[-41.6875, -19.0, 58.75]","[0.9580999612808228, -0.1431999951601028, 0.0383000001311302]","[0.0917694121599197, 0.3303559124469757, 0.1524545103311538]","[2.6898999214172363, 8.429800033569336, 4.227499961853027]",,
2024-02-24 17:37:27.100,"[2.3287057876586914, 10.525744438171388, 4.606290817260742]","[0.7132939696311951, 0.3662500083446502, 0.4800879955291748, 0.3557910025119781, -1.0027892589569092, -1.043378829956055, -2.826651334762573]","[-8.5, -48.1875, 0.875]","[0.0412072241306304, 0.3889117240905761, 0.1462411433458328]","[-41.0, -18.6875, 58.5625]","[-0.3310999870300293, 0.621399998664856, -0.4301999807357788]","[-0.2248333096504211, 0.2534043490886688, -0.1598023474216461]","[2.6454999446868896, 8.46929931640625, 4.1763997077941895]",,
2024-02-24 17:37:27.200,"[3.8511595726013184, 9.569623947143556, 3.136528730392456]","[0.7167080044746399, 0.3714979887008667, 0.4670319855213165, 0.3608309924602508, -0.9488027095794678, -1.0542912483215332, -2.789693117141724]","[-8.625, -48.4375, 2.5]","[-0.1945518553256988, 0.2896897494792938, -0.1441292911767959]","[-41.125, -18.9375, 60.1875]","[0.1644999980926513, -0.6583999991416931, -0.7008000016212463]","[-0.1844638437032699, 0.0663225129246711, -0.0901637077331543]","[2.80679988861084, 8.513599395751953, 3.9761998653411865]",,
