TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[4.841324806213379, 14.052000999450684, -3.790758848190308]","[0.6902719736099243, 0.6331179738044739, 0.3433319926261902, 0.0693280026316642, -1.667414665222168, -1.1723172664642334, 2.0786948204040527]","[22.3125, -37.9375, -2.5625]","[0.3310365974903106, -0.2103296220302581, 0.4401894807815552]","[-26.0, -54.75, 31.125]","[1.8772999048233032, -2.2814998626708984, 6.019299983978272]","[-0.2101725488901138, 0.5836032032966614, -0.2034704834222793]","[-0.3669999837875366, 9.038299560546877, 3.787299871444702]",,,
"[8.815441131591797, 8.359010696411133, 8.204200744628906]","[0.688962996006012, 0.6396809816360474, 0.3363609910011291, 0.0547409988939762, -1.6838244199752808, -1.1636600494384766, 2.030306339263916]","[23.8125, -37.0625, -3.4375]","[0.2608918249607086, 0.0084473937749862, 0.5924345850944519]","[-24.5, -53.875, 30.25]","[4.154699802398682, 13.354000091552734, -2.632499933242798]","[0.6406230926513672, 0.0219911485910415, 0.4570493698120117]","[-0.4379999935626983, 9.005000114440918, 3.8583998680114746]",,,
"[1.4648300409317017, 7.687522888183594, 3.0033633708953857]","[0.6833739876747131, 0.6496139764785767, 0.3278129994869232, 0.0594849996268749, -1.7283964157104492, -1.1859562397003174, 1.978713870048523]","[24.1875, -37.625, -2.5]","[0.3713362514972687, 0.7036120295524597, -0.0979129672050476]","[-24.125, -54.4375, 31.1875]","[-4.492199897766113, -9.599299430847168, -1.6352999210357666]","[0.0086393794044852, 0.8148593306541443, -0.1781283020973205]","[-0.5777999758720398, 9.089300155639648, 3.635799884796143]",,,
"[-4.750718593597412, 12.442110061645508, 8.439311981201172]","[0.6865140199661255, 0.6506170034408569, 0.3228009939193725, 0.0345569998025894, -1.70804762840271, -1.1570608615875244, 1.9558459520339968]","[24.875, -36.9375, -3.0]","[-1.6496851444244385, 0.3335149586200714, -0.0338942930102348]","[-23.4375, -53.75, 30.6875]","[2.971400022506714, -7.723899841308594, 1.1057000160217283]","[-0.7172430753707886, -0.4145855009555816, 0.7518529295921326]","[-0.5393999814987183, 8.979199409484863, 3.905399799346924]",,,
"[-1.0877529382705688, 0.8789306282997131, 1.2886073589324951]","[0.6830909848213196, 0.6629149913787842, 0.3016749918460846, 0.0540440008044242, -1.7478649616241455, -1.2175943851470947, 1.9104580879211424]","[24.25, -37.25, -2.625]","[-0.0119904121384024, 0.0787492543458938, -0.3169867098331451]","[-24.0625, -54.0625, 31.0625]","[5.549799919128418, -4.494100093841553, -2.701599836349488]","[0.0414864756166935, 0.3788062632083893, -0.1131322383880615]","[-0.5974999666213989, 9.201299667358398, 3.33899998664856]",,,
"[5.178715705871582, 12.796356201171877, 9.03421401977539]","[0.6944209933280945, 0.6498090028762817, 0.3065449893474579, 0.0394390001893043, -1.6572140455245972, -1.1854323148727417, 1.988199234008789]","[23.4375, -37.0, -4.1875]","[-0.1611287891864776, -0.0934274718165397, 0.1145459562540054]","[-24.875, -53.8125, 29.5]","[3.622999906539917, 4.396599769592285, 0.6620000004768372]","[0.4736300110816955, 0.0021816615480929, 0.1607971787452697]","[-0.3181000053882599, 9.08739948272705, 3.6723999977111816]",,,
"[0.2010171860456466, 7.247334957122803, 3.249688148498535]","[0.6868770122528076, 0.657135009765625, 0.3074710071086883, 0.0428159981966018, -1.7138365507125854, -1.1918939352035522, 1.937658309936524]","[24.375, -37.125, -3.125]","[0.538730800151825, 0.366746038198471, 0.2417630106210708]","[-23.9375, -53.9375, 30.5625]","[-0.4928999841213226, 0.2443999946117401, -2.335099935531616]","[0.313373863697052, 0.1709724515676498, 0.2272418737411499]","[-0.5170999765396118, 9.111000061035156, 3.5902998447418213]",,,
"[0.7122558355331421, 8.210972785949707, 0.2696254253387451]","[0.6832230091094971, 0.6621320247650146, 0.3071449995040893, 0.0211599990725517, -1.7365273237228394, -1.1624181270599363, 1.8837581872940063]","[25.25, -36.5, -3.375]","[-0.5093917846679688, 0.2103121727705001, 0.0562170557677745]","[-23.0625, -53.3125, 30.3125]","[0.7601000070571899, -1.35099995136261, 1.4740999937057495]","[-0.8331503868103027, 0.3070034086704254, -0.0577354915440082]","[-0.6423999667167664, 9.000199317932129, 3.840999841690064]",,,
"[7.835561752319336, 14.299043655395508, 1.1286840438842771]","[0.6834570169448853, 0.6684880256652832, 0.2925539910793304, 0.0205189995467662, -1.7433831691741943, -1.1830710172653198, 1.8533244132995603]","[25.5, -36.25, -4.5625]","[-0.0720122829079628, -0.2019520401954651, 0.2096140384674072]","[-22.8125, -53.0625, 29.125]","[2.892199993133545, 3.1991000175476074, 1.809599995613098]","[-0.1370781660079956, 0.2871066629886627, -0.1354724615812301]","[-0.6366999745368958, 9.078700065612791, 3.652599811553955]",,,"[45.0, 1.5, 27.47191429138184, 12.588000297546388, 9.969032287597656, 135.68215942382812, 2191.1058967839926, 6.6639077, 44.5740341]"
"[0.3546291589736938, 17.193450927734375, 4.445506095886231]","[0.6821339726448059, 0.6695050001144409, 0.2938979864120483, 0.0088459998369216, -1.7468621730804443, -1.164482355117798, 1.835412621498108]","[25.125, -35.75, -5.0625]","[0.0307701546698808, 0.2746624648571014, -0.2977182567119598]","[-23.1875, -52.5625, 28.625]","[-0.0368999987840652, -1.1236000061035156, -0.0696999952197074]","[0.3905523121356964, 0.0512777715921402, -0.1541649252176284]","[-0.6789000034332275, 9.00819969177246, 3.8157999515533447]",,,
