time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status
2024-03-20 14:48:41.000,"[9.29662799835205, 7.941011905670166, 10.365293502807615]","[0.0079889995977282, -0.4460470080375671, 0.3944360017776489, 0.8033660054206848, -1.1882258653640747, -0.6772162318229675, -0.4870097935199737]","[-24.8125, -5.1875, -34.625]","[-0.275238424539566, -1.93960189819336, -1.6536296606063845]","[-72.5, -20.1875, 0.875]","[-6.040099620819092, -2.58519983291626, 0.8434999585151672]","[-0.0120427720248699, -2.4425010681152344, -2.390141248703003]","[2.85290002822876, 6.145099639892578, 7.089999675750732]",,
2024-03-20 14:48:41.100,"[-0.1066185906529426, 12.562041282653809, 2.276033401489258]","[-0.080654002726078, -0.5004889965057373, 0.3141930103302002, 0.8026750087738037, -1.1897451877593994, -0.6250312924385071, -0.2301840037107467]","[-22.5625, -3.125, -36.5]","[-0.2332632541656494, -0.0050614546053111, -0.4825486242771148]","[-70.25, -18.125, -1.0]","[-1.829699993133545, 6.931999683380127, -3.420300006866455]","[-0.5117305517196655, 0.0204378049820661, -1.0058856010437012]","[2.9574999809265137, 5.738100051879883, 7.382199764251709]",,
2024-03-20 14:48:41.200,"[0.5159600377082825, 6.129606246948242, 3.493762731552124]","[-0.1166490018367767, -0.4912329912185669, 0.2881709933280945, 0.8136579990386963, -1.1234344244003296, -0.6230921149253845, -0.1151365786790847]","[-21.9375, -2.25, -36.1875]","[-0.2973691821098327, -0.8148069381713867, -0.0172438528388738]","[-69.625, -17.25, -0.6875]","[-7.269499778747559, 2.877699851989746, -1.335199952125549]","[-0.52070152759552, -0.0843692123889923, -1.926843523979187]","[3.444999933242798, 5.722599983215332, 7.179999828338623]",,
2024-03-20 14:48:41.300,"[-6.844333171844482, 9.106040000915527, 8.077069282531738]","[-0.1269280016422271, -0.5002380013465881, 0.2826519906520843, 0.8085529804229736, -1.1389474868774414, -0.6237297058105469, -0.0956614166498184]","[-22.625, -2.5625, -35.8125]","[-0.7305075526237488, -0.6801198720932007, -1.1711857318878174]","[-70.3125, -17.5625, -0.3125]","[-4.125999927520752, 11.30639934539795, 1.3317999839782717]","[-0.4820424914360046, 0.5479460954666138, -0.5611582398414612]","[3.3315999507904053, 5.7276997566223145, 7.229300022125244]",,
2024-03-20 14:48:41.400,"[5.033971786499023, 8.793758392333984, 5.263317584991455]","[-0.1548050045967102, -0.4981119930744171, 0.2655079960823059, 0.8108170032501221, -1.107144117355347, -0.6246054172515869, -0.0166039317846298]","[-20.375, -2.875, -37.3125]","[-0.0381528958678245, -0.4567875564098358, 0.1288227587938308]","[-68.0625, -17.875, -1.8125]","[-2.469099998474121, -2.567100048065185, 4.201600074768066]","[-0.3781430423259735, -0.8859291076660156, -0.3016278147697449]","[3.5576000213623047, 5.734699726104736, 7.115200042724609]",,
2024-03-20 14:48:41.500,"[-1.3895659446716309, 12.186457633972168, 9.13942527770996]","[-0.174014002084732, -0.5123940110206604, 0.2515229880809784, 0.8024380207061768, -1.1280688047409058, -0.6211745738983154, 0.0264581888914108]","[-18.5625, -1.75, -38.1875]","[-0.567965030670166, -0.0182561445981264, -1.166752576828003]","[-66.25, -16.75, -2.6875]","[-2.465100049972534, 4.33459997177124, 2.8949999809265137]","[-0.2373298704624176, -0.629627525806427, -0.3923151195049286]","[3.416299819946289, 5.707299709320068, 7.205799579620361]",,
2024-03-20 14:48:41.600,"[0.6041815876960754, 5.771893501281738, 5.072393894195557]","[-0.2084510028362274, -0.5197679996490479, 0.2284869998693466, 0.7963550090789795, -1.1192569732666016, -0.6194726228713989, 0.1163064688444137]","[-17.5625, -2.625, -38.375]","[-0.2797064781188965, -0.6797533631324768, -0.5949478149414062]","[-65.25, -17.625, -2.875]","[-10.132899284362791, 1.7003999948501587, -3.2026000022888184]","[-0.3837106227874756, -0.472792237997055, -1.107149600982666]","[3.4838998317718506, 5.69379997253418, 7.1840996742248535]",,
2024-03-20 14:48:41.700,"[-3.1021862030029297, 9.858086585998535, 8.08265209197998]","[-0.2341330051422119, -0.5350890159606934, 0.2097589969635009, 0.7841309905052185, -1.141295313835144, -0.6181408762931824, 0.1760116666555404]","[-16.5625, -1.8125, -38.6875]","[0.008761553093791, 0.1444085389375686, 0.008761553093791]","[-64.25, -16.8125, -3.1875]","[-9.221699714660645, 2.564199924468994, -0.0581999979913234]","[0.3255562782287597, 0.4312708675861358, 0.4681147634983063]","[3.327899932861328, 5.683099746704102, 7.26609992980957]",,
2024-03-20 14:48:41.800,"[1.14999258518219, 12.44894790649414, 3.5906319618225098]","[-0.2321770042181015, -0.5349709987640381, 0.2086700052022934, 0.785082995891571, -1.1411010026931765, -0.6139034032821655, 0.1737263649702072]","[-15.4375, -2.625, -39.25]","[0.0208915919065475, -0.4612032473087311, 0.0535117946565151]","[-63.125, -17.625, -3.75]","[-1.976199984550476, 7.658299922943115, -4.168699741363525]","[-0.1960702836513519, -0.731659471988678, -0.1482308059930801]","[3.339399814605713, 5.649199962615967, 7.287199974060059]",,
2024-03-20 14:48:41.900,"[-0.9991769790649414, 7.259123802185059, 5.556262016296387]","[-0.2641040086746216, -0.5507349967956543, 0.2028719931840896, 0.7653629779815674, -1.1708552837371826, -0.6453074216842651, 0.2283020764589309]","[-13.3125, -3.6875, -39.375]","[-0.0585557967424392, -0.7668278813362122, 0.0114144533872604]","[-61.0, -18.6875, -3.875]","[-4.031099796295166, 1.0253000259399414, -9.089399337768556]","[0.1944994926452636, -0.2474178671836853, 0.2314830124378204]","[3.05049991607666, 5.898099899291992, 7.216300010681152]",,
2024-03-20 14:48:42.000,"[2.98907470703125, 18.24995422363281, 5.637464046478272]","[-0.283730000257492, -0.5603460073471069, 0.2098329961299896, 0.74931800365448, -1.1954540014266968, -0.6846956014633179, 0.2478794753551483]","[-12.0, -6.125, -39.8125]","[-0.6930527687072754, -0.6518805027008057, 0.8857720494270325]","[-59.6875, -21.125, -4.3125]","[0.1767999976873397, 8.478400230407715, -3.3310999870300293]","[-0.6234664916992188, -0.3399901390075683, 0.877185046672821]","[2.7846999168396, 6.202099800109863, 7.067399978637695]",,
2024-03-20 14:48:42.100,"[2.0097694396972656, 12.975260734558104, 0.9699581265449524]","[-0.2940320074558258, -0.5726220011711121, 0.2559390068054199, 0.7212089896202087, -1.2650548219680786, -0.7837063074111938, 0.186026930809021]","[-8.5, -10.875, -39.0]","[-0.7431960701942444, -0.5668480396270752, 0.3144210577011108]","[-56.1875, -25.875, -3.5]","[-0.0116999996826052, 4.511899948120117, -5.927599906921387]","[-0.9584824442863464, -0.3647738099098205, 0.4920606613159179]","[2.0906999111175537, 6.922599792480469, 6.623899936676025]",,
2024-03-20 14:48:42.200,"[8.941011428833008, 5.578566551208496, 1.247206687927246]","[-0.3149580061435699, -0.586601972579956, 0.2921580076217651, 0.6865429878234863, -1.3475464582443235, -0.8798888325691223, 0.1412388533353805]","[-7.4375, -14.0625, -38.1875]","[0.603046178817749, -0.05948081985116, 2.7953367233276367]","[-55.125, -29.0625, -2.6875]","[4.833799839019775, -2.458199977874756, -8.57509994506836]","[0.6686530709266663, 1.3853201866149902, 2.285875082015991]","[1.3834999799728394, 7.557600021362305, 6.093999862670898]",,
2024-03-20 14:48:42.300,"[-2.333465576171875, -6.041471004486084, 2.481159210205078]","[-0.2370550036430359, -0.5959010124206543, 0.3825019896030426, 0.6651300191879272, -1.5753952264785769, -0.9130135774612428, -0.2319236546754837]","[-4.5, -17.8125, -37.625]","[-1.4368423223495483, 1.852125883102417, 2.544201374053955]","[-52.1875, -32.8125, -2.125]","[-1.4728000164031982, -8.074299812316895, -0.4741999804973602]","[-1.297966480255127, 1.0194642543792725, 2.4978280067443848]","[-0.0274999998509883, 7.760499954223633, 5.995299816131592]",right,STOP
2024-03-20 14:48:42.400,"[6.404853343963623, 19.538524627685547, -5.27735710144043]","[-0.1770849972963333, -0.5513589978218079, 0.5127900242805481, 0.6337890028953552, -1.8240939378738403, -1.0070818662643433, -0.6921238303184509]","[-0.8125, -23.25, -35.125]","[1.681013822555542, 1.3368349075317385, 3.639849185943604]","[-48.5, -38.25, 0.375]","[-2.1682000160217285, -5.935699939727783, -4.915800094604492]","[-0.0343306250870227, -1.139036774635315, 4.958358287811279]","[-1.313099980354309, 8.289299964904785, 5.072700023651123]",left,START
