time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status
2024-02-25 13:21:06.000,"[1.997999668121338, 9.835476875305176, -11.066268920898438]","[-0.663536012172699, -0.1390600055456161, 0.5686079859733582, 0.4659039974212646, 1.1043479442596436, -0.7957322001457214, 2.4239935874938965]","[-19.6875, -43.6875, 13.4375]","[0.0656592845916748, 0.3598694503307342, -0.5679301619529724]","[-372.0625, -56.625, -103.0]","[-2.69379997253418, 3.75219988822937, 8.610300064086914]","[0.0597251653671264, 0.3622605502605438, -0.5660626292228699]","[3.0859999656677246, 7.0055999755859375, -6.129199981689453]",,
2024-02-25 13:21:06.100,"[3.304065465927124, 12.417240142822266, -2.449402332305908]","[-0.6464419960975647, -0.1072970032691955, 0.5645759701728821, 0.5018489956855774, 1.0713499784469604, -0.7829680442810059, 2.301887989044189]","[-23.0625, -42.1875, 12.75]","[0.5533915162086487, 0.5105087757110596, -0.8844630718231201]","[-375.5625, -55.125, -103.625]","[-6.702600002288818, -2.4749999046325684, -4.106599807739258]","[0.5474573969841003, 0.5128999352455139, -0.8825955390930176]","[3.3290998935699463, 6.917399883270264, -6.101999759674072]",,
2024-02-25 13:21:06.200,"[-1.254006266593933, 11.191341400146484, 2.607783794403076]","[-0.6316789984703064, -0.102021999657154, 0.5543619990348816, 0.5322170257568359, 1.0186667442321775, -0.802322268486023, 2.2064950466156006]","[-25.75, -41.3125, 10.9375]","[0.5896943807601929, 0.0628493055701255, -0.3447723388671875]","[-378.375, -54.1875, -105.3125]","[-3.6631999015808105, -1.490299940109253, -3.444399833679199]","[0.5837777256965637, 0.0652578622102737, -0.3428873717784881]","[3.574899911880493, 7.050699710845947, -5.803199768066406]",,
2024-02-25 13:21:06.300,"[5.880063533782959, 19.919193267822266, 0.9325894117355348]","[-0.6273019909858704, -0.0903809964656829, 0.5471469759941101, 0.5467649698257446, 0.9908750653266908, -0.79193514585495, 2.1521363258361816]","[-26.875, -40.375, 10.4375]","[0.7530921101570129, -0.3050835430622101, -0.189926728606224]","[-379.3125, -53.25, -105.3125]","[-7.246299743652344, 4.70989990234375, -5.152199745178223]","[0.7471579909324646, -0.3026924431324005, -0.1880417764186859]","[3.774699926376343, 6.979499816894531, -5.762499809265137]",,
2024-02-25 13:21:06.400,"[-3.371735095977783, 9.123852729797363, -4.399547100067139]","[-0.6083449721336365, -0.085827000439167, 0.5334569811820984, 0.581354022026062, 0.9224542379379272, -0.8105692267417908, 2.0363144874572754]","[-28.1875, -39.1875, 9.9375]","[0.5759586691856384, -0.1150870099663734, -0.7929030656814575]","[-380.5, -52.25, -106.0625]","[-2.148699998855591, 0.9346999526023864, 0.7085999846458435]","[0.5700245499610901, -0.1126784533262252, -0.7910355925559998]","[4.080599784851074, 7.106599807739258, -5.386399745941162]",,
2024-02-25 13:21:06.500,"[1.5515576601028442, 4.425863742828369, -2.3033463954925537]","[-0.6036580204963684, -0.0746959969401359, 0.5412520170211792, 0.5805709958076477, 0.9527390003204346, -0.8018620014190674, 2.040459156036377]","[-29.375, -39.25, 9.1875]","[-0.0534768886864185, 0.0785747244954109, 0.0153588969260454]","[-382.0625, -51.8125, -107.0]","[-4.627999782562256, 0.895799994468689, -3.797799825668335]","[-0.0593935549259185, 0.0809832736849784, 0.0172438528388738]","[3.951399803161621, 7.047499656677246, -5.557699680328369]",,
2024-02-25 13:21:06.600,"[1.6991745233535769, 20.151412963867188, 2.748850107192993]","[-0.5967320203781128, -0.058568999171257, 0.5565680265426636, 0.5750749707221985, 1.011531114578247, -0.789550244808197, 2.061306953430176]","[-28.9375, -39.5, 10.875]","[-0.5527457594871521, 0.7312754988670349, 0.0143466060981154]","[-381.75, -52.375, -105.9375]","[1.2493000030517578, 9.296299934387209, -6.404900074005127]","[-0.5586624145507812, 0.7336840629577637, 0.016214108094573]","[3.6636998653411865, 6.963099956512451, -5.853299617767334]",,
2024-02-25 13:21:06.700,"[5.792158126831055, 10.80693817138672, -1.0982586145401]","[-0.5667539834976196, -0.0520309992134571, 0.5581089854240417, 0.6038169860839844, 0.9928768277168274, -0.8226761221885681, 1.971572756767273]","[-29.3125, -38.8125, 11.5625]","[0.6214593648910522, 0.4425282180309295, -0.4863359928131103]","[-381.75, -51.5625, -104.5625]","[-1.3690999746322632, 3.3148999214172363, -1.8260999917984009]","[0.6155427098274231, 0.4449367821216583, -0.4844684898853302]","[3.644199848175049, 7.187899589538574, -5.587699890136719]",,
2024-02-25 13:21:06.800,"[-1.4814746379852295, 12.29220485687256, -6.191290378570557]","[-0.542834997177124, -0.0561209991574287, 0.5475850105285645, 0.6342949867248535, 0.9254319667816162, -0.8565539121627808, 1.8635493516922]","[-30.25, -39.0625, 10.375]","[0.769533097743988, -0.0199840199202299, -0.389958918094635]","[-383.0, -51.8125, -105.5]","[1.5396000146865845, 3.053799867630005, 4.003999710083008]","[0.7635989785194397, -0.0175754651427268, -0.3880739510059356]","[3.863799810409546, 7.409799575805664, -5.131799697875977]",,
2024-02-25 13:21:06.900,"[2.756588220596313, 12.01172924041748, -3.669353485107422]","[-0.5200660228729248, -0.0455540008842945, 0.5435289740562439, 0.657289981842041, 0.8952884078025818, -0.8662329912185669, 1.7756937742233276]","[-31.5, -38.0, 8.0625]","[0.2587450742721557, 0.283947616815567, -0.1574636101722717]","[-384.25, -50.6875, -108.125]","[-4.962100028991699, 1.1973999738693235, -1.3487999439239502]","[0.2528283894062042, 0.2863561809062958, -0.1555786430835724]","[3.971699953079224, 7.471599578857422, -4.956799983978272]",,
