time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE
2024-03-22 13:03:14.000,"[5.66260290145874, 15.059404373168944, -0.3966042995452881]","[0.2361010015010833, -0.2184620052576065, 0.6838669776916504, 0.6548699736595154, -1.621322751045227, -0.9149460792541504, -1.6476728916168213]","[-18.9375, -33.6875, -17.875]","[-0.1048768311738967, -1.1333470344543457, -0.3156253397464752]","[-73.1875, -53.875, 16.9375]","[0.5609999895095825, 8.581999778747559, -4.611099720001221]","[0.6480233073234558, -0.7465471029281616, -0.4464377760887146]","[-0.2373999953269958, 7.765599727630615, 5.983999729156494]",,,quick,advanced,blue
2024-03-22 13:03:14.100,"[8.857712745666504, 8.799323081970215, -3.419638156890869]","[0.2116999924182891, -0.2711549997329712, 0.6593109965324402, 0.6685540080070496, -1.5963971614837646, -0.8737832903862, -1.5069071054458618]","[-19.3125, -30.125, -22.3125]","[0.7629182934761047, -1.2437914609909058, -1.180785059928894]","[-73.5625, -50.3125, 12.5]","[-4.886799812316895, 1.375499963760376, -4.663899898529053]","[-0.0293564386665821, -1.4882596731185913, -0.100600779056549]","[-0.251800000667572, 7.6464996337890625, 6.134899616241455]",,,quick,advanced,blue
2024-03-22 13:03:14.200,"[9.718179702758787, 18.10953140258789, 11.687535285949709]","[0.1722880005836486, -0.3157890141010284, 0.6639590263366699, 0.6555539965629578, -1.6963403224945068, -0.8659461140632629, -1.479685664176941]","[-18.4375, -29.625, -23.3125]","[-0.0846833735704422, -1.469619631767273, -0.8193098902702332]","[-72.6875, -49.8125, 11.5]","[-13.420299530029297, 4.422499656677246, -7.075199604034424]","[-1.0338457822799685, 0.0070511302910745, -0.0024085543118417]","[-0.6520999670028687, 7.453299999237059, 6.339699745178223]",right,STOP,quick,advanced,blue
2024-03-22 13:03:14.300,"[-4.002377510070801, 17.26583480834961, 1.497793436050415]","[0.1238370016217231, -0.3073900043964386, 0.6504279971122742, 0.683459997177124, -1.6310914754867554, -0.9492010474205016, -1.3575941324234009]","[-21.4375, -31.6875, -18.875]","[-1.2604942321777344, 1.5178953409194946, -0.5326046943664551]","[-75.6875, -51.875, 15.9375]","[5.875899791717529, 3.468400001525879, -6.917199611663818]","[-0.6290515661239624, 0.5122017860412598, 0.195738673210144]","[-0.5410000085830688, 7.809099674224853, 5.907099723815918]",left,START,quick,advanced,blue
2024-03-22 13:03:14.400,"[-7.370128631591797, 13.449811935424805, -0.1821987479925155]","[0.1061289981007576, -0.2638289928436279, 0.6468459963798523, 0.7076150178909302, -1.5238949060440063, -1.034165620803833, -1.2920786142349243]","[-23.125, -31.625, -14.9375]","[-0.966196835041046, -0.0101578161120414, -1.0116626024246216]","[-77.375, -51.8125, 19.875]","[3.3626999855041504, 13.261799812316896, -11.054499626159668]","[-1.1744669675827026, 0.0934274718165397, -1.5672707557678225]","[0.1675999909639358, 8.312699317932129, 5.199999809265137]",,,quick,advanced,blue
2024-03-22 13:03:14.500,"[-5.285937309265137, 6.632302761077881, -0.4216668009757995]","[0.052556000649929, -0.2402870059013366, 0.6138589978218079, 0.7501180171966553, -1.2720696926116943, -1.1099497079849243, -0.998518407344818]","[-25.875, -31.5625, -11.5]","[-1.040338397026062, -0.3372499644756317, -0.5335471630096436]","[-80.125, -51.75, 23.3125]","[-2.365000009536743, -1.4716999530792236, -1.1567000150680542]","[-1.3493314981460571, 0.1030267849564552, 0.2277131080627441]","[1.1685999631881714, 8.728599548339844, 4.314499855041504]",,,quick,advanced,blue
2024-03-22 13:03:14.600,"[-0.7294270396232605, 12.291534423828123, 4.79542350769043]","[0.0063649998046457, -0.1969799995422363, 0.6330159902572632, 0.7486310005187988, -1.1909055709838867, -1.2384616136550903, -0.9167124032974244]","[-23.25, -35.125, -5.5625]","[-1.6687268018722534, 0.5003684163093567, 0.492025762796402]","[-77.5, -55.3125, 29.25]","[-6.7027997970581055, 2.6838998794555664, -1.320199966430664]","[-1.851986289024353, 0.8325394988059998, 1.1544829607009888]","[1.2307000160217283, 9.162399291992188, 3.271699905395508]",,,quick,advanced,blue
2024-03-22 13:03:14.700,"[4.7430572509765625, 4.4456400871276855, -2.1244614124298096]","[-0.0280150007456541, -0.0834340006113052, 0.6881830096244812, 0.7201780080795288, -1.1261656284332275, -1.4802480936050415, -0.9682286977767944]","[-19.3125, -38.0625, 9.1875]","[-3.016679525375366, 2.262906551361084, 1.335682988166809]","[-73.5625, -58.25, 44.0]","[3.705999851226807, -5.242599964141846, 3.007699966430664]","[-3.0476067066192627, 2.9274582862854004, -0.0651356875896453]","[0.5597999691963196, 9.694799423217772, 1.3659999370574951]",,,quick,advanced,blue
2024-03-22 13:03:14.800,"[-2.5759310722351074, 8.110712051391602, -5.884296417236328]","[-0.0296570006757974, 0.1027090027928352, 0.7244669795036316, 0.6809679865837097, 1.940229058265686, -1.3734257221221924, 1.836365818977356]","[-14.0, -34.6875, 23.1875]","[-1.9354654550552368, 2.9245433807373047, -0.0207519643008708]","[-68.25, -54.875, 58.0]","[7.464399814605713, 4.680900096893311, 6.093899726867676]","[-2.9428868293762207, 2.979940176010132, -2.0427334308624268]","[-0.5310999751091003, 9.675899505615234, -1.5044000148773191]",,,quick,advanced,blue
2024-03-22 13:03:14.900,"[7.286829471588135, 28.90750503540039, -8.992708206176758]","[0.0081289997324347, 0.2685950100421905, 0.6827390193939209, 0.6794530153274536, 1.7838258743286133, -1.2002923488616943, 1.382988214492798]","[-10.9375, -29.125, 30.875]","[-0.646818995475769, 2.004405975341797, -0.4686034619808197]","[-65.1875, -49.3125, 65.6875]","[2.40310001373291, -0.558899998664856, 10.292399406433104]","[-0.5217137932777405, 0.9778032302856444, -0.1604481190443039]","[-0.6771000027656555, 9.15939998626709, -3.4375]",,,quick,advanced,blue
2024-03-22 13:03:15.000,"[-11.156826972961426, 18.13885498046875, 4.659432411193848]","[0.0225670002400875, 0.3408170044422149, 0.651993989944458, 0.6769310235977173, 1.759510517120361, -1.1154125928878784, 1.2256762981414795]","[-11.0625, -27.25, 32.1875]","[-0.1908692121505737, 0.0756251141428947, -0.3138625621795654]","[-65.3125, -47.4375, 67.0]","[8.54010009765625, 13.415199279785156, 0.8626999855041504]","[-0.4985707402229309, -0.2388483136892318, -0.1664346009492874]","[-0.832099974155426, 8.865399360656738, -4.108699798583984]",,,quick,advanced,blue
2024-03-22 13:03:15.100,"[10.927165031433104, 13.060513496398926, -2.4015183448791504]","[-0.0077349999919533, 0.3545089960098266, 0.6336219906806946, 0.6875939965248108, 1.6795648336410522, -1.0468769073486328, 1.1662123203277588]","[-12.5, -23.5625, 35.1875]","[-1.4161427021026611, -0.2998650074005127, 0.6267826557159424]","[-66.75, -43.75, 70.0]","[-0.2116999924182891, -3.594299793243408, 9.455999374389648]","[-1.0716670751571655, -0.3618242144584656, 0.1619490981101989]","[-0.4746999740600586, 8.615300178527832, -4.6605000495910645]",,,quick,advanced,blue
2024-03-22 13:03:15.200,"[1.084017992019653, 17.9294490814209, 9.836241722106934]","[-0.044684000313282, 0.3836950063705444, 0.6201390027999878, 0.6827939748764038, 1.680109620094299, -0.948538064956665, 1.1710165739059448]","[-11.25, -21.5625, 37.375]","[-0.6196442246437073, 0.7048512101173401, -0.349694162607193]","[-65.5, -41.75, 72.1875]","[-4.01099967956543, 7.047699928283691, 6.957099914550781]","[-0.4142713546752929, 1.2274028062820437, -0.5277701020240784]","[-0.519599974155426, 8.044599533081055, -5.584199905395508]",,,quick,advanced,blue
2024-03-22 13:03:15.300,"[4.5882768630981445, 18.287429809570312, 7.526086807250977]","[-0.009162999689579, 0.4361499845981598, 0.5797699689865112, 0.6881529688835144, 1.6568819284439087, -0.91072416305542, 1.0072177648544312]","[-9.9375, -19.125, 38.75]","[-0.4397007822990417, 0.735673725605011, -1.1635586023330688]","[-64.1875, -39.3125, 73.5625]","[7.757799625396728, 10.567899703979492, 5.638499736785889]","[0.06955137103796, 0.2017426043748855, 0.1696460098028183]","[-0.5400999784469604, 7.819499969482422, -5.893499851226807]",,,quick,advanced,blue
2024-03-22 13:03:15.400,"[-1.3193583488464355, 14.304885864257812, -0.879064679145813]","[0.0127090001478791, 0.4420920014381408, 0.5678480267524719, 0.6942189931869507, 1.6304426193237305, -0.9267268180847168, 0.9386910796165466]","[-10.75, -22.3125, 37.5]","[0.6662096381187439, -0.4348313212394714, -0.5578595995903015]","[-65.0, -42.5, 72.3125]","[3.1076998710632324, 1.2422999143600464, 7.032099723815918]","[1.3134649991989136, 0.274173766374588, -0.3373721539974212]","[-0.4500999748706817, 7.779699802398682, -5.953399658203125]",left,STOP,quick,advanced,blue
