time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
2024-02-25 16:11:03.600,"[4.591226577758789, 4.165422439575195, -4.1020050048828125]","[-0.6858530044555664, -0.146137997508049, 0.6254159808158875, 0.3422020077705383, 1.3438670635223389, -0.6796175241470337, 2.7642197608947754]","[-10.0, -42.125, 18.5625]","[0.4776966273784637, -0.8157494068145752, 0.2034006714820861]","[-363.1875, -54.8125, -96.1875]","[-0.558899998664856, 0.5638999938964844, -0.2463999986648559]","[0.3342131078243255, -0.4022285640239715, 0.3259576857089996]","[1.716099977493286, 6.163399696350098, -7.43209981918335]",,,snowplow,intermediate,blue,
2024-02-25 16:11:03.700,"[-0.7848480343818665, 7.417772769927978, -7.538661003112793]","[-0.6795989871025085, -0.149409994482994, 0.6366450190544128, 0.3324199914932251, 1.3840667009353638, -0.6768554449081421, 2.799394130706787]","[-8.25, -41.9375, 19.1875]","[-0.0932703912258148, 0.149208202958107, 0.2644522786140442]","[-361.5625, -54.8125, -95.5625]","[0.875499963760376, -0.8172999620437622, 1.6277999877929688]","[-0.1175130158662796, 0.2907020449638366, 0.3463082313537597]","[1.4191999435424805, 6.142299652099609, -7.5117998123168945]",,,snowplow,intermediate,blue,
2024-02-25 16:11:03.800,"[1.936516523361206, 8.506281852722168, -8.570351600646973]","[-0.6869149804115295, -0.151881992816925, 0.6279199719429016, 0.3328570127487182, 1.3570574522018433, -0.6772792339324951, 2.792497396469116]","[-8.75, -41.6875, 19.0625]","[-0.1793674826622009, 0.1956339478492736, 0.1850572526454925]","[-362.125, -54.5, -95.75]","[2.3015999794006348, 0.1501999944448471, -0.0926999971270561]","[-0.1192583441734314, 0.4746946394443512, -0.0073827425949275]","[1.6208999156951904, 6.145599842071533, -7.468199729919434]",,,snowplow,intermediate,blue,
2024-02-25 16:11:03.900,"[3.704643964767456, 6.551934242248535, -7.87315034866333]","[-0.694595992565155, -0.1701489984989166, 0.6233320236206055, 0.3162930011749267, 1.356526017189026, -0.68243008852005, 2.8443727493286133]","[-8.6875, -42.5625, 19.375]","[-0.0659385398030281, -0.2359161525964737, 0.4869468510150909]","[-361.6875, -55.25, -95.375]","[4.148099899291992, -2.301399946212769, 2.5132999420166016]","[-0.0808436498045921, -0.2570869922637939, 0.4550771415233612]","[1.6181999444961548, 6.184799671173096, -7.436299800872803]",,,snowplow,intermediate,blue,
2024-02-25 16:11:04.000,"[2.198193073272705, 9.012627601623535, -6.901343822479248]","[-0.7070000171661377, -0.2015050053596496, 0.6076340079307556, 0.3005419969558716, 1.3311357498168943, -0.7078044414520264, 2.902296304702759]","[-6.75, -42.9375, 17.875]","[-0.0736179873347282, -0.1627344936132431, 0.8509527444839478]","[-360.375, -55.75, -97.0]","[0.9575999975204468, -0.3251999914646148, 0.5105999708175659]","[0.1395390778779983, 0.154723435640335, 0.599555492401123]","[1.7685999870300293, 6.375899791717529, -7.23799991607666]",,,snowplow,intermediate,blue,
2024-02-25 16:11:04.100,"[2.918062448501587, 7.37459135055542, -7.748517513275146]","[-0.7269960045814514, -0.2195329964160919, 0.5899620056152344, 0.274271011352539, 1.2964869737625122, -0.6981716752052307, 2.958119630813598]","[-6.8125, -42.8125, 18.5625]","[-0.2284636050462722, -0.612278938293457, 0.4830373227596283]","[-359.6875, -55.625, -96.125]","[0.9854999780654908, 2.9632999897003174, 0.2585999965667724]","[-0.3415085673332214, -0.6381447315216064, 0.4079008996486664]","[2.0348000526428223, 6.303899765014648, -7.231199741363525]",,,snowplow,intermediate,blue,"[45.0, 1.5, 15.484566688537598, 9.397000312805176, 2.3190221786499023, 193.7158660888672, 635.8281493959948, 18.8950322, 49.6393223]"
2024-02-25 16:11:04.200,"[3.7309515476226807, 7.0466814041137695, -6.113814353942871]","[-0.7420269846916199, -0.2441290020942688, 0.5730549693107605, 0.2477979958057403, 1.272835612297058, -0.7027313709259033, 3.026082992553711]","[-6.5625, -43.1875, 18.5]","[-0.0494451783597469, -0.7492523789405823, 0.4750262498855591]","[-359.8125, -55.8125, -96.3125]","[1.71589994430542, 0.2028999924659729, -0.0346999987959861]","[-0.0676315054297447, -0.8617039322853088, 0.4888318181037903]","[2.196799993515014, 6.3379998207092285, -7.153499603271484]",,,snowplow,intermediate,blue,
2024-02-25 16:11:04.300,"[3.4307281970977783, 6.450496673583984, -6.102734088897705]","[-0.7562090158462524, -0.2758870124816894, 0.5528780221939087, 0.2153110057115554, 1.2524394989013672, -0.7146299481391907, 3.1143476963043213]","[-4.5625, -43.0, 18.1875]","[-0.1471138000488281, -0.7584851980209351, 0.6283185482025146]","[-357.8125, -55.875, -96.5]","[0.92739999294281, -0.4151999950408935, 1.160899996757507]","[-0.0947539210319519, -0.8155574202537537, 0.6398376822471619]","[2.31850004196167, 6.426599979400635, -7.034999847412109]",,,snowplow,intermediate,blue,
2024-02-25 16:11:04.400,"[2.399047613143921, 6.613532066345215, -8.376181602478027]","[-0.7747889757156372, -0.3129729926586151, 0.5236499905586243, 0.1659449934959411, 1.2240474224090576, -0.7191830277442932, -3.047570943832397]","[-3.125, -43.3125, 18.875]","[-0.3033905923366546, -1.0602002143859863, 0.9876469373703004]","[-356.5625, -56.1875, -95.9375]","[-0.4870999753475189, 0.0707999989390373, 0.1917999982833862]","[-0.3283313512802124, -0.9827250838279724, 0.9438740611076356]","[2.507299900054932, 6.460299968719482, -6.938799858093262]",,,snowplow,intermediate,blue,
2024-02-25 16:11:04.500,"[4.554902076721191, 7.071140766143799, -7.279283046722412]","[-0.7955949902534485, -0.3291069865226745, 0.4902920126914978, 0.1353870034217834, 1.15804922580719, -0.7160767316818237, -2.9988858699798584]","[-3.125, -43.1875, 18.6875]","[-0.2051285505294799, -0.7273310422897339, 0.1439198553562164]","[-356.1875, -55.8125, -96.0]","[2.631999969482422, 0.0839999988675117, 0.8141999840736389]","[-0.1664171367883682, -1.008468747138977, 0.1554564833641052]","[2.9674999713897705, 6.437299728393555, -6.776700019836426]",,,snowplow,intermediate,blue,
