time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status
2024-02-25 12:44:37.600,"[2.5648412704467773, 8.044163703918457, -4.138741493225098]","[0.0956299975514411, 0.3440650105476379, 0.5121259689331055, 0.7811530232429504, 1.0733476877212524, -1.046953558921814, 0.4178991913795471]","[12.0, -41.5625, 19.1875]","[-0.3196919560432434, 0.0366344600915908, -0.0141546204686164]","[-342.875, -56.0625, -94.25]","[-0.7421999573707581, 0.873699963092804, 0.9372999668121338]","[-0.3256086111068725, 0.039043016731739, -0.012269664555788]","[2.3406999111175537, 8.491600036621094, -4.310800075531006]",,
2024-02-25 12:44:37.700,"[0.9055445790290833, 7.788807392120361, -4.885167598724365]","[0.0873709991574287, 0.3549349904060364, 0.5047479867935181, 0.7820580005645752, 1.0985822677612305, -1.0188515186309814, 0.4364387989044189]","[11.5, -41.25, 20.0625]","[-0.2155830711126327, -0.076462872326374, -0.2059313952922821]","[-343.0625, -55.9375, -93.3125]","[-0.0930999964475631, -1.897599935531616, 1.92170000076294]","[-0.2215171903371811, -0.0740543231368064, -0.2040464431047439]","[2.3387999534606934, 8.3503999710083, -4.5792999267578125]",,
2024-02-25 12:44:37.800,"[1.7172459363937378, 10.20358943939209, -6.286675930023193]","[0.0814490020275116, 0.3583720028400421, 0.4911369979381561, 0.7897589802742004, 1.078469157218933, -0.9865677356719972, 0.4169577956199646]","[9.3125, -41.5625, 20.0625]","[0.049392819404602, 0.316323459148407, -0.7161958813667297]","[-345.4375, -55.9375, -93.1875]","[1.650299906730652, -1.393899917602539, 1.3930000066757202]","[0.043476153165102, 0.3187320232391357, -0.714310884475708]","[2.5565998554229736, 8.180099487304688, -4.766499996185303]",,
2024-02-25 12:44:37.900,"[2.306640863418579, 8.593326568603516, -3.566948652267456]","[0.1049169972538948, 0.3699640035629272, 0.4605309963226318, 0.8000180125236511, 1.0231592655181885, -0.951862096786499, 0.3025954067707062]","[6.375, -43.0, 19.1875]","[0.2658660113811493, 0.3769911229610443, -1.0067058801651]","[-348.1875, -57.25, -94.0]","[0.2639999985694885, 2.9271998405456543, 0.964199960231781]","[0.2599318921566009, 0.3793996572494507, -1.0048383474349976]","[2.9622998237609863, 7.987499713897705, -4.857399940490723]",,
2024-02-25 12:44:38.000,"[3.851427793502808, 10.046587944030762, -1.9569343328475952]","[0.1448619961738586, 0.3751530051231384, 0.4249660074710846, 0.8109729886054993, 0.9361727833747864, -0.9239075183868408, 0.1396528333425521]","[4.1875, -43.5, 18.25]","[-0.0176103729754686, 0.5257106423377991, -0.6791599988937378]","[-350.5, -57.9375, -95.1875]","[-2.61169981956482, 1.3830000162124634, 1.2390999794006348]","[-0.0235444922000169, 0.5281191468238831, -0.6772924661636353]","[3.5040998458862305, 7.8252997398376465, -4.759699821472168]",,
2024-02-25 12:44:38.100,"[3.3643128871917725, 7.350936412811279, -4.177661418914795]","[0.1783400028944015, 0.3937959969043731, 0.3852069973945617, 0.8153119683265686, 0.9091277718544006, -0.8766294121742249, 0.019666077569127]","[2.25, -43.5625, 18.5]","[-0.0045727626420557, 0.7509279251098633, -0.6936461925506592]","[-352.625, -58.0, -94.6875]","[0.0383999980986118, 0.1412999927997589, -0.3947999775409698]","[-0.0104894284158945, 0.753336489200592, -0.6917612552642822]","[3.8546998500823975, 7.537199974060059, -4.949699878692627]",,
2024-02-25 12:44:38.200,"[2.1033828258514404, 10.000168800354004, -3.617610216140747]","[0.2075659930706024, 0.4118579924106598, 0.3536849915981293, 0.8137540221214294, 0.9057052135467528, -0.8429375886917114, -0.0699221119284629]","[1.4375, -43.3125, 17.875]","[0.1749867051839828, 0.2362303137779235, -0.4707851111888885]","[-353.1875, -57.75, -95.3125]","[-1.1821999549865725, 1.680799961090088, 0.1222999989986419]","[0.1690525859594345, 0.2386388629674911, -0.4689176082611084]","[4.026199817657471, 7.321599960327148, -5.133500099182129]",,
2024-02-25 12:44:38.300,"[-0.6221093535423279, 9.432215690612791, -3.515693664550781]","[0.2350150048732757, 0.4132010042667389, 0.3312970101833343, 0.8150299787521362, 0.8675762414932251, -0.8245626091957092, -0.1617108732461929]","[-2.1875, -43.875, 16.1875]","[0.5585926175117493, 0.2863387167453766, -0.9486737251281738]","[-356.6875, -58.3125, -97.0625]","[-1.8044999837875368, 1.2918999195098877, 0.5963999629020691]","[0.5526759624481201, 0.2887472808361053, -0.946788728237152]","[4.305200099945068, 7.200500011444092, -5.078099727630615]",,
2024-02-25 12:44:38.400,"[4.7480082511901855, 3.01938533782959, -5.636085033416748]","[0.277316004037857, 0.4115149974822998, 0.2966159880161285, 0.8159459829330444, 0.8072476387023926, -0.7927477955818176, -0.3014966547489166]","[-5.125, -44.5, 13.8125]","[0.4201705753803253, 0.8679871559143066, -0.9607862830162048]","[-359.9375, -58.6875, -99.375]","[-2.631500005722046, 1.723099946975708, 0.6574000120162964]","[0.414236456155777, 0.8703957200050354, -0.9589188098907472]","[4.759599685668945, 6.985099792480469, -4.972300052642822]",,
2024-02-25 12:44:38.500,"[3.8938148021698, 6.20638370513916, -7.496752738952637]","[0.326988011598587, 0.4247879981994629, 0.251035988330841, 0.8059859871864319, 0.792656421661377, -0.751128613948822, -0.4437752962112427]","[-6.8125, -44.875, 14.4375]","[-0.0691848546266555, 0.9295623302459716, -0.4017224311828613]","[-361.375, -59.375, -99.0]","[-2.7955000400543213, 1.7508000135421753, 2.08459997177124]","[-0.0751015171408653, 0.9319708943367004, -0.399837464094162]","[5.031499862670898, 6.692699909210205, -5.105000019073486]",,
