TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[5.166792392730713, 7.945962905883789, -3.6444251537323]","[-0.6593210101127625, -0.2192039936780929, 0.5927720069885254, 0.4072639942169189, 1.2488868236541748, -0.8817944526672363, 2.6904993057250977]","[-10.625, -45.3125, 11.125]","[-1.0002307891845703, -1.202496886253357, 0.962234914302826]","[-363.0625, -57.4375, -105.0625]","[1.0968999862670898, -1.5972999334335327, 0.0303999986499547]","[-0.9174323081970216, -0.9720610976219176, 0.8761727213859558]","[1.972499966621399, 7.569499969482422, -5.91439962387085]",,,
"[6.888223648071289, 7.657758235931396, -7.417907238006592]","[-0.7017859816551208, -0.2406419962644577, 0.5792689919471741, 0.3376890122890472, 1.254260540008545, -0.8168363571166992, 2.852452754974365]","[-6.4375, -44.75, 14.5]","[-0.6844483017921448, -0.6651449799537659, 1.4913837909698486]","[-359.3125, -57.0, -101.4375]","[5.118299961090088, 1.6868000030517578, -0.4556999802589416]","[-0.7815759181976318, -0.8873952031135559, 1.3257869482040403]","[2.0894999504089355, 7.148900032043457, -6.37939977645874]",,,
"[1.3514024019241333, 5.259591579437256, -4.261458873748779]","[-0.7252219915390015, -0.2828739881515503, 0.5731649994850159, 0.2559599876403808, 1.3103946447372437, -0.7806022763252258, 3.0754082202911377]","[-3.125, -45.125, 15.375]","[0.323147714138031, -1.119052767753601, 0.9346238374710084]","[-355.625, -57.1875, -100.25]","[0.6674999594688416, 3.435099840164185, 0.0639999955892562]","[0.2424087822437286, -1.2038408517837524, 0.8130790591239929]","[1.7937999963760376, 6.901000022888184, -6.73259973526001]",,,
"[0.778594434261322, 12.53498649597168, -3.0147595405578613]","[-0.7437620162963867, -0.3369599878787994, 0.5349149703979492, 0.2171179950237274, 1.2711175680160522, -0.8234797716140747, -3.0863587856292725]","[-0.75, -45.375, 14.875]","[-0.5166348814964294, -1.138897180557251, -0.0678758546710014]","[-352.875, -57.9375, -101.125]","[-2.1440999507904053, -4.810299873352051, -0.0648999959230423]","[-0.4645368456840515, -1.6345531940460205, 0.3706206679344177]","[1.967599987983704, 7.193299770355225, -6.368199825286865]",,,
"[9.186216354370115, 7.606321334838867, -5.35443115234375]","[-0.7626810073852539, -0.3560589849948883, 0.5111629962921143, 0.1739239990711212, 1.241857886314392, -0.8051373958587646, -2.9986672401428223]","[-2.5, -44.8125, 16.0]","[0.0830078572034835, 0.3601312339305877, -0.3435156941413879]","[-354.6875, -57.375, -99.75]","[3.5119998455047607, -2.372499942779541, 1.0085999965667725]","[0.0286757592111825, 0.1165879964828491, -0.5299866795539856]","[2.195299863815308, 7.069799900054932, -6.431699752807617]",,,"[0.0, 1.5, 22.740694046020508, 10.64900016784668, 0.0012763512786477, 0.0, 633.19482421875, 18.8949986, 49.6392684]"
"[6.445238590240479, 7.582063674926758, -5.068534851074219]","[-0.766327977180481, -0.3528150022029876, 0.5056290030479431, 0.1805559992790222, 1.2162419557571411, -0.8086166977882385, -3.025390148162842]","[-0.0625, -45.625, 14.8125]","[0.3989298939704895, -0.3743382096290588, 0.7844207882881165]","[-352.625, -57.9375, -100.625]","[5.778800010681152, 0.359499990940094, -0.9065999984741212]","[0.4621806442737579, -0.3484549820423126, 0.8346164226531982]","[2.350800037384033, 7.093400001525879, -6.350299835205078]",,,
"[2.9811832904815674, 4.856274604797363, -5.536610126495361]","[-0.7509310245513916, -0.4004890024662018, 0.4981040060520172, 0.1661379933357238, 1.2815805673599243, -0.8741325736045837, -2.906515121459961]","[4.1875, -45.4375, 13.8125]","[0.0737401619553566, -0.4852015376091003, 0.829991340637207]","[-348.4375, -57.6875, -101.875]","[3.069399833679199, 0.3628999888896942, 1.402400016784668]","[0.0693593844771385, -0.6289293766021729, 0.910974621772766]","[1.794600009918213, 7.5214996337890625, -6.031099796295166]",,,
"[3.534387588500977, 8.753288269042969, -6.292699813842773]","[-0.7392399907112122, -0.4413729906082153, 0.4906159937381744, 0.1341920047998428, 1.3614052534103394, -0.901461660861969, -2.75368595123291]","[7.125, -45.0, 14.5625]","[0.1066396161913871, -0.8505513072013855, 0.3746698200702667]","[-345.0625, -57.375, -101.125]","[2.8148000240325928, 1.7529999017715454, -0.4617999792098999]","[0.0960105583071708, -1.07395339012146, 0.5027246475219727]","[1.264699935913086, 7.690699577331543, -5.951699733734131]",,,
"[3.604585647583008, 4.871261596679688, -6.20990800857544]","[-0.7474219799041748, -0.4666959941387176, 0.4611929953098297, 0.1041859984397888, 1.3402518033981323, -0.916929006576538, -2.67295503616333]","[5.6875, -45.625, 13.0]","[0.6230651140213013, 0.0031241392716765, -0.6161186695098877]","[-346.3125, -57.9375, -102.6875]","[2.3831000328063965, -1.2134000062942505, -0.8514999747276306]","[0.6281788945198059, -0.0197920333594083, -0.5860815644264221]","[1.3629999160766602, 7.783899784088135, -5.80709981918335]",,,
"[10.121535301208496, 10.148858070373535, -6.176935195922852]","[-0.76180100440979, -0.4598079919815063, 0.4368819892406463, 0.1317889988422393, 1.226178526878357, -0.9539673924446106, -2.786763906478882]","[2.8125, -46.125, 12.4375]","[-0.3724707067012787, -0.3160442113876343, -0.3560297191143036]","[-349.125, -58.25, -103.4375]","[4.65399980545044, -1.164199948310852, -0.4271000027656555]","[-0.3348414301872253, -0.3530800938606262, -0.4921130239963531]","[1.916399955749512, 7.999399662017822, -5.339099884033203]",,,
"[2.259360313415528, 8.188955307006836, -6.620676040649414]","[-0.7819849848747253, -0.4431000053882599, 0.4203239977359772, 0.124450996518135, 1.1361619234085083, -0.9233300685882568, -2.842275381088257]","[2.3125, -45.9375, 12.875]","[0.0321140587329864, 0.3613006174564361, -0.0969355851411819]","[-350.0, -58.4375, -103.0625]","[5.482100009918213, -3.4480998516082764, -0.5385000109672546]","[0.104213610291481, 0.283947616815567, -0.041957713663578]","[2.4905998706817627, 7.821899890899658, -5.364999771118164]",,,
