time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status
2024-03-20 14:02:58.300,"[5.131473064422607, 9.098005294799805, 2.443579912185669]","[-0.5779420137405396, -0.5006639957427979, 0.0737970024347305, 0.6402119994163513, -0.8504520654678345, -0.7385290861129761, 1.1216444969177246]","[-7.375, -16.375, -40.3125]","[0.4957607686519623, 0.2241177260875702, 0.6695781350135803]","[-54.875, -28.5625, -2.0]","[-3.5576000213623047, -1.4239000082015991, 0.2277999967336654]","[0.1995260417461395, 0.120759330689907, 0.1152440905570983]","[4.783400058746338, 6.601799964904785, 5.450099945068359]",,
2024-03-20 14:02:58.400,"[-6.760469436645508, 4.741323947906494, 5.560275077819824]","[-0.5748170018196106, -0.5083420276641846, 0.0628319978713989, 0.6381409764289856, -0.8813843727111816, -0.7269564867019653, 1.1114569902420044]","[-6.1875, -16.625, -40.3125]","[-0.8310036063194275, -0.8685631155967712, -1.5761021375656128]","[-53.6875, -28.8125, -2.0]","[-9.348400115966797, 3.75, -3.0257999897003174]","[-0.8170584440231323, -0.8503069281578064, -1.6513607501983645]","[4.660900115966797, 6.517399787902832, 5.65399980545044]",,
2024-03-20 14:02:58.500,"[-2.590382575988769, 18.697643280029297, 4.927707672119141]","[-0.6187300086021423, -0.504397988319397, 0.0222120005637407, 0.6018810272216797, -0.8688684701919556, -0.708782970905304, 1.2583423852920532]","[-3.4375, -17.3125, -40.5625]","[-0.3593109250068664, -0.1571145355701446, -0.0149923786520957]","[-50.9375, -29.5, -2.25]","[-3.3359999656677246, 10.95479965209961, -3.233099937438965]","[0.1603259444236755, -0.0089186327531933, 0.7622376680374146]","[4.806900024414063, 6.383199691772461, 5.684799671173096]",,
2024-03-20 14:02:58.600,"[-3.858122110366821, 15.787117004394531, -0.0450109913945198]","[-0.6315039992332458, -0.498308002948761, 0.0213549993932247, 0.5936620235443115, -0.8436328172683716, -0.7138151526451111, 1.30096173286438]","[-3.5, -19.3125, -39.875]","[0.5504943132400513, -0.5966756939888, -0.0001221730490215]","[-51.0, -31.5, -1.5625]","[7.271899700164795, 5.739500045776367, -7.312599658966064]","[0.0611039772629737, -0.9396503567695618, 0.0442964546382427]","[4.927499771118164, 6.420599937438965, 5.537600040435791]",,
2024-03-20 14:02:58.700,"[-0.3598484992980957, 12.717060089111328, -1.524445652961731]","[-0.6372050046920776, -0.5130680203437805, 0.0087489997968077, 0.5750240087509155, -0.8853551149368286, -0.7260496616363525, 1.3169609308242798]","[-4.0625, -21.5, -38.625]","[-2.0602214336395264, -0.8841139674186707, -1.2545775175094604]","[-51.5625, -33.6875, -0.3125]","[-2.0727999210357666, 8.228499412536621, 3.3743999004364014]","[-2.337170362472534, 0.487976610660553, -0.6749188303947449]","[4.642099857330322, 6.510799884796143, 5.677099704742432]",,
2024-03-20 14:02:58.800,"[-3.2007222175598145, 8.089662551879883, 11.92324924468994]","[-0.6745169758796692, -0.4970209896564483, 0.0158450007438659, 0.5456590056419373, -0.8005892038345337, -0.758440375328064, 1.447116136550903]","[-1.875, -21.1875, -38.8125]","[-0.5601809024810791, 0.2963394522666931, -0.0138753671199083]","[-49.375, -33.375, -0.5]","[-4.191699981689453, 0.3255999982357025, 6.579899787902832]","[-0.0030543261673301, -0.8095011711120605, 0.1103571653366088]","[4.956599712371826, 6.744899749755859, 5.109499931335449]",,
2024-03-20 14:02:58.900,"[0.4443159401416778, 21.191041946411133, 11.741442680358888]","[-0.6500020027160645, -0.521507978439331, -0.0001219999976456, 0.5527439713478088, -0.9016681909561156, -0.7448038458824158, 1.3583885431289673]","[-0.3125, -21.0625, -39.125]","[-0.8732580542564392, -0.3236189484596252, -0.9325119853019714]","[-47.8125, -33.25, -0.8125]","[-5.580499649047852, 13.544699668884276, 6.220399856567383]","[-0.8723853826522827, -0.5000019073486328, -0.4685161709785461]","[4.472300052642822, 6.64709997177124, 5.655299663543701]",,
2024-03-20 14:02:59.000,"[3.696331262588501, 6.066993236541748, -0.6253942251205444]","[-0.6775190234184265, -0.5195479989051819, -0.0078440001234412, 0.5205519795417786, -0.8756234049797058, -0.7695900797843933, 1.456633687019348]","[-0.125, -23.8125, -37.5625]","[0.0078539820387959, -0.0968134105205535, -0.1934871971607208]","[-47.625, -36.0, 0.75]","[-3.491299867630005, 1.7666999101638794, -2.1429998874664307]","[-0.6122266054153442, -0.5314353108406067, -0.5596049427986145]","[4.511199951171875, 6.82379961013794, 5.408699989318848]",,
2024-03-20 14:02:59.100,"[-3.2596864700317383, -1.84730863571167, 5.276322841644287]","[-0.686381995677948, -0.519245982170105, -0.020270999521017, 0.5087739825248718, -0.8798283934593201, -0.7644989490509033, 1.491823434829712]","[0.125, -23.3125, -37.5]","[0.306479811668396, -0.9923592805862428, -0.2145882248878479]","[-47.375, -35.5, 0.8125]","[-9.6589994430542, -6.92519998550415, 0.7041999697685242]","[0.0096516711637377, -0.7195119857788086, -0.4231725335121155]","[4.510499954223633, 6.787899971008301, 5.4542999267578125]",,
2024-03-20 14:02:59.200,"[-3.1001944541931152, 29.05287170410156, 12.42357063293457]","[-0.6709010004997253, -0.5445839762687683, -0.0606120005249977, 0.4996449947357178, -1.00242280960083, -0.7344174385070801, 1.4459320306777954]","[5.0625, -20.75, -38.625]","[-0.1373748630285263, 0.0132121425122022, -0.1464156657457351]","[-42.4375, -32.9375, -0.3125]","[6.996899604797363, 6.912099838256836, -2.8687000274658203]","[0.8497309684753418, 0.1995434910058975, 1.4796377420425415]","[3.917799949645996, 6.571899890899658, 6.134299755096436]",,
