time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
2024-03-20 15:04:54.600,"[23.641122817993164, -5.081932544708252, 13.445348739624023]","[-0.7087550163269043, -0.5437489748001099, -0.0320530012249946, 0.4483029842376709, -0.9190651774406432, -0.8360946178436279, 1.5808241367340088]","[4.3125, -27.9375, -34.375]","[0.1508139073848724, -5.851687431335449, 0.5110847353935242]","[-43.125, -41.6875, 2.8125]","[-19.06029891967773, -10.326700210571287, -3.5593998432159424]","[0.6455798149108887, 0.8190306425094604, 0.7232295274734497]","[3.987499952316284, 7.27679967880249, 5.22659969329834]",,,carving_short,intermediate,blue,
2024-03-20 15:04:54.700,"[-11.760826110839844, -4.655343055725098, 11.27692985534668]","[-0.6459069848060608, -0.6032059788703918, -0.023964999243617, 0.4673010110855102, -1.1430391073226929, -0.8584527373313904, 1.3164438009262085]","[9.125, -23.8125, -36.6875]","[-3.3014822006225586, 1.5312994718551636, -1.2791692018508911]","[-38.3125, -37.5625, 0.5]","[-27.14609909057617, 3.1789000034332275, -4.420000076293945]","[-0.2071531265974044, 1.581425428390503, 0.0617846548557281]","[2.658900022506714, 7.421899795532227, 5.832099914550781]",right,STOP,carving_short,intermediate,blue,
2024-03-20 15:04:54.800,"[12.82895565032959, 8.845818519592285, 4.379990577697754]","[-0.7201259732246399, -0.5329059958457947, 0.0537689998745918, 0.4410620033740997, -0.7443997263908386, -0.952642560005188, 1.6449679136276243]","[7.125, -29.6875, -33.3125]","[1.1789350509643557, -2.258892297744751, 3.141889333724976]","[-40.3125, -43.4375, 3.875]","[23.93560028076172, 4.540899753570557, -12.558799743652344]","[2.516747236251831, -4.422053337097168, 1.4883993864059448]","[4.1798996925354, 7.9918999671936035, 3.850499868392944]",left,START,carving_short,intermediate,blue,
2024-03-20 15:04:54.900,"[-7.581814289093018, 11.539822578430176, -1.1358188390731812]","[-0.6091470122337341, -0.6506500244140625, 0.0293920002877712, 0.4524700045585632, -1.3032561540603638, -0.96015602350235, 1.1076865196228027]","[12.0, -23.875, -36.0]","[-1.7636202573776243, 0.2503325641155243, 0.7185520529747009]","[-35.4375, -37.625, 1.1875]","[-9.125800132751465, 21.30699920654297, 12.70949935913086]","[-1.4833029508590698, 3.0939276218414307, 0.376589685678482]","[1.4864000082015991, 8.03439998626709, 5.4228997230529785]",,,carving_short,intermediate,blue,
2024-03-20 15:04:55.000,"[4.709988117218018, -0.5562592148780823, -0.8590108752250671]","[-0.6113349795341492, -0.656844973564148, 0.1155039966106414, 0.4260059893131256, -1.3127634525299072, -1.1232587099075315, 1.0216981172561646]","[14.125, -30.375, -30.875]","[0.0302989166229963, 0.5446997880935669, 1.5678815841674805]","[-33.3125, -44.125, 6.3125]","[-1.975299954414368, -1.77020001411438, -5.731100082397461]","[-0.6249849200248718, 0.0471587963402271, -0.2916794121265411]","[1.0828999280929563, 8.840799331665039, 4.1031999588012695]",,,carving_short,intermediate,blue,"[45.0, 1.5, 38.065914154052734, 17.52899932861328, 13.529655456542969, 5.326400279998779, 2364.4838419351727, 6.6395744, 44.6010833]"
2024-03-20 15:04:55.100,"[-3.3164002895355225, -1.668634057044983, 0.5859473347663879]","[-0.5914599895477295, -0.6825060248374939, 0.1328029930591583, 0.4083169996738434, -1.4882937669754028, -1.1574989557266235, 0.8499718904495239]","[17.9375, -27.25, -30.8125]","[-1.0650522708892822, 0.5370377898216248, 2.301792621612549]","[-29.5, -41.0, 6.375]","[-1.8739999532699585, -14.609899520874023, 1.4192999601364136]","[-1.099889039993286, 0.1880417764186859, 2.2255215644836426]","[0.3244999945163727, 8.980899810791016, 3.9251999855041504]",,,carving_short,intermediate,blue,
2024-03-20 15:04:55.200,"[5.155261993408203, 7.564652919769287, 13.438117980957031]","[-0.5060240030288696, -0.7300270199775696, 0.2273630052804947, 0.3991299867630005, -2.01830530166626, -1.1688905954360962, 0.1850571483373642]","[22.5625, -20.5, -33.8125]","[-0.493160218000412, -0.5165825486183167, 0.5432511568069458]","[-24.875, -34.25, 3.375]","[-16.14889907836914, 58.32679748535156, 1.7685999870300293]","[2.056905508041382, -1.499604344367981, 0.1068490594625473]","[-1.6598999500274658, 9.02519989013672, 3.4582998752593994]",,,carving_short,intermediate,blue,
2024-03-20 15:04:55.300,"[-27.090574264526367, 33.49739074707031, -4.1460490226745605]","[-0.4883269965648651, -0.7457150220870972, 0.2609469890594482, 0.3706069886684418, -2.265803098678589, -1.1725001335144043, -0.0702648386359214]","[25.0, -21.6875, -31.0]","[-0.1311440467834472, -0.4910658299922943, -1.879876732826233]","[-22.4375, -35.4375, 6.1875]","[42.70179748535156, 15.9089994430542, -3.264400005340576]","[0.4899837374687195, 0.5433908104896545, 0.4350582063198089]","[-2.43560004234314, 9.038999557495115, 2.9212000370025635]",,,carving_short,intermediate,blue,
2024-03-20 15:04:55.400,"[-13.178796768188477, 28.17000389099121, 17.943439483642578]","[-0.4311639964580536, -0.7758029699325562, 0.3089419901371002, 0.341731995344162, -2.5522985458374023, -1.0761724710464478, -0.3995762467384338]","[27.9375, -18.0625, -30.6875]","[-0.1846558302640915, 0.9259146451950072, -0.8370599150657654]","[-19.5, -31.8125, 6.5]","[19.335100173950195, 19.248899459838867, 6.258299827575684]","[0.8402712941169739, 0.6803293228149414, 1.5085928440093994]","[-3.869999885559082, 8.63129997253418, 2.5871999263763428]",,,carving_short,intermediate,blue,
2024-03-20 15:04:55.500,"[12.189532279968262, 11.295614242553713, -2.2768282890319824]","[-0.3798510134220123, -0.782535970211029, 0.3438279926776886, 0.3537400066852569, -2.576476573944092, -0.9931415915489196, -0.5158947706222534]","[27.0625, -20.1875, -29.875]","[0.4248305857181549, -0.3511078953742981, 2.6687655448913574]","[-20.375, -33.9375, 7.3125]","[4.757800102233887, -12.422499656677246, -5.878299713134766]","[-1.7574243545532229, 1.6556018590927124, 2.526451349258423]","[-4.52239990234375, 8.215399742126465, 2.8675999641418457]",,,carving_short,intermediate,blue,
